카테고리,단어,뜻,예문,해석,학습 상태
고급 필수 영단어,autonomous,[형용사] 자율적인,Autonomous vehicles require advanced sensors.,자율주행 차량은 첨단 센서를 필요로 한다.,미학습
고급 필수 영단어,coherent,[형용사] 일관성 있는,Write a coherent argument with clear evidence.,명확한 근거로 일관성 있는 주장을 써라.,미학습
고급 필수 영단어,contemplate,[동사] 심사숙고하다,He contemplated changing his career.,그는 진로를 바꾸는 것을 심사숙고했다.,미학습
고급 필수 영단어,deteriorate,[동사] 악화되다,The patient’s condition began to deteriorate.,환자의 상태가 악화되기 시작했다.,미학습
고급 필수 영단어,discrepancy,"[명사] 차이, 불일치",There was a discrepancy between the two reports.,두 보고서 사이에 불일치가 있었다.,미학습
고급 필수 영단어,elusive,"[형용사] 찾기 어려운, 이해하기 힘든",A simple answer remained elusive.,간단한 답은 여전히 찾기 어려웠다.,미학습
고급 필수 영단어,facilitate,"[동사] 촉진하다, 용이하게 하다",Digital tools facilitate remote collaboration.,디지털 도구는 원격 협업을 촉진한다.,미학습
고급 필수 영단어,formidable,"[형용사] 만만치 않은, 강력한",The team faced a formidable opponent.,그 팀은 강력한 상대를 만났다.,미학습
고급 필수 영단어,inherent,"[형용사] 내재된, 고유의",Risk is inherent in every investment.,위험은 모든 투자에 내재되어 있다.,미학습
고급 필수 영단어,meticulous,[형용사] 세심한,The editor made meticulous corrections.,편집자는 세심하게 수정했다.,미학습
고급 필수 영단어,obsolete,"[형용사] 구식의, 쓸모없어진",Many devices become obsolete quickly.,많은 기기는 빠르게 구식이 된다.,미학습
고급 필수 영단어,pervasive,[형용사] 널리 퍼진,Smartphones have become pervasive in daily life.,스마트폰은 일상생활에 널리 퍼졌다.,미학습
고급 필수 영단어,pragmatic,[형용사] 실용적인,We need a pragmatic approach to the problem.,우리는 그 문제에 실용적인 접근이 필요하다.,미학습
고급 필수 영단어,resilient,[형용사] 회복력 있는,Resilient communities recover faster after disasters.,회복력 있는 공동체는 재난 후 더 빨리 회복한다.,미학습
고급 필수 영단어,scrutiny,[명사] 면밀한 조사,The proposal came under intense scrutiny.,그 제안은 강도 높은 검토를 받았다.,미학습
고급 필수 영단어,substantive,"[형용사] 실질적인, 중요한",The meeting produced substantive changes.,그 회의는 실질적인 변화를 만들어 냈다.,미학습
고급 필수 영단어,transparent,[형용사] 투명한,Transparent rules increase public trust.,투명한 규칙은 대중의 신뢰를 높인다.,미학습
여행 영어,arrival,[명사] 도착,Check the arrival time on the screen.,화면에서 도착 시간을 확인하세요.,미학습
여행 영어,baggage,[명사] 수하물,Where can I pick up my baggage?,제 수하물은 어디에서 찾을 수 있나요?,미학습
여행 영어,boarding,[명사] 탑승,Boarding begins at Gate 12.,탑승은 12번 게이트에서 시작됩니다.,미학습
여행 영어,departure,[명사] 출발,The departure gate has changed.,출발 게이트가 변경되었습니다.,미학습
여행 영어,hostel,[명사] 호스텔,We stayed at a cheap hostel near the station.,우리는 역 근처의 저렴한 호스텔에 머물렀다.,미학습
여행 영어,passport,[명사] 여권,Please show your passport at the counter.,카운터에서 여권을 보여 주세요.,미학습
여행 영어,terminal,[명사] 터미널,The shuttle bus goes to Terminal 2.,셔틀버스는 제2터미널로 갑니다.,미학습
여행 영어,vacancy,"[명사] 빈방, 공석",Do you have any vacancies tonight?,오늘 밤 빈방이 있나요?,미학습
여행 영어,aisle,[명사] 통로,I prefer an aisle seat.,저는 통로 좌석을 선호합니다.,미학습
여행 영어,delay,[명사/동사] 지연; 지연시키다,The flight has a two-hour delay.,그 항공편은 두 시간 지연되었습니다.,미학습
여행 영어,excursion,"[명사] 짧은 여행, 소풍",We booked a day excursion to the island.,우리는 그 섬으로 가는 당일 여행을 예약했다.,미학습
여행 영어,fare,[명사] 요금,How much is the bus fare?,버스 요금이 얼마인가요?,미학습
여행 영어,landmark,"[명사] 명소, 랜드마크",The tower is the city’s most famous landmark.,그 탑은 그 도시에서 가장 유명한 명소이다.,미학습
여행 영어,embassy,[명사] 대사관,Contact your embassy if you lose your passport.,여권을 잃어버리면 대사관에 연락하세요.,미학습
여행 영어,luggage,"[명사] 짐, 수하물",My luggage is too heavy.,내 짐은 너무 무겁다.,미학습
토익 950+ 목표,acquisition,"[명사] 인수, 취득",The acquisition expanded the firm’s market share.,그 인수는 회사의 시장 점유율을 확대했다.,미학습
토익 950+ 목표,amendment,"[명사] 수정, 개정",The contract includes a recent amendment.,그 계약서에는 최근 개정 사항이 포함되어 있다.,미학습
토익 950+ 목표,arbitration,[명사] 중재,The dispute was settled through arbitration.,그 분쟁은 중재를 통해 해결되었다.,미학습
토익 950+ 목표,compliance,[명사] 준수,All employees must complete compliance training.,모든 직원은 준법 교육을 이수해야 한다.,미학습
토익 950+ 목표,contingency,"[명사] 비상 사태, 우발성",The plan includes a contingency budget.,그 계획에는 예비 예산이 포함되어 있다.,미학습
토익 950+ 목표,depreciation,"[명사] 감가상각, 가치 하락",Depreciation reduced the asset’s book value.,감가상각은 자산의 장부가치를 낮추었다.,미학습
토익 950+ 목표,disclosure,"[명사] 공개, 공시",The disclosure must be submitted by Monday.,그 공시는 월요일까지 제출되어야 한다.,미학습
토익 950+ 목표,exemption,[명사] 면제,Small businesses may qualify for a tax exemption.,소기업은 세금 면제 자격을 얻을 수 있다.,미학습
토익 950+ 목표,fiduciary,[형용사/명사] 신탁의; 수탁자,Board members have fiduciary duties to shareholders.,이사회 구성원은 주주에 대한 신인의무가 있다.,미학습
토익 950+ 목표,litigation,[명사] 소송,The company wants to avoid costly litigation.,그 회사는 비용이 많이 드는 소송을 피하고 싶어 한다.,미학습
토익 950+ 목표,procurement,"[명사] 조달, 구매",Procurement procedures were updated last quarter.,조달 절차는 지난 분기에 갱신되었다.,미학습
토익 950+ 목표,reimbursement,"[명사] 상환, 변제",Submit receipts for travel reimbursement.,출장비 상환을 위해 영수증을 제출하세요.,미학습
토익 950+ 목표,subsidiary,[명사/형용사] 자회사; 보조의,The subsidiary operates in Southeast Asia.,그 자회사는 동남아시아에서 운영된다.,미학습
토익 950+ 목표,underwriting,"[명사] 인수 심사, 보험 인수",Underwriting standards became stricter after the audit.,감사 이후 인수 심사 기준이 더 엄격해졌다.,미학습
토익 950+ 목표,viability,"[명사] 실행 가능성, 생존 가능성",The report evaluates the project’s financial viability.,그 보고서는 프로젝트의 재무적 실행 가능성을 평가한다.,미학습
토익 950+ 목표,consolidation,"[명사] 통합, 합병",Consolidation helped reduce operating costs.,통합은 운영 비용을 줄이는 데 도움이 되었다.,미학습
토익 950+ 목표,remuneration,"[명사] 보수, 급여",The committee reviewed executive remuneration.,위원회는 임원 보수를 검토했다.,미학습
토익 950+ 목표,restructuring,[명사] 구조조정,Restructuring improved the company’s efficiency.,구조조정은 회사의 효율성을 높였다.,미학습
토익 950+ 목표,shareholder,[명사] 주주,Shareholders approved the merger plan.,주주들은 합병 계획을 승인했다.,미학습
토익 950+ 목표,tariff,[명사] 관세,The new tariff affected import prices.,새 관세는 수입 가격에 영향을 미쳤다.,미학습
기타,cyberspace,[명사] 사이버 공간,Personal data can spread quickly in cyberspace.,개인정보는 사이버 공간에서 빠르게 퍼질 수 있다.,미학습
기타,sustainability,[명사] 지속 가능성,Sustainability is central to the new design.,지속 가능성은 새 설계의 핵심이다.,미학습
기타,mindfulness,[명사] 마음챙김,Mindfulness can help reduce stress.,마음챙김은 스트레스를 줄이는 데 도움이 될 수 있다.,미학습
기타,algorithm,[명사] 알고리즘,The algorithm recommends videos based on your choices.,그 알고리즘은 사용자의 선택을 바탕으로 영상을 추천한다.,미학습
기타,biodiversity,[명사] 생물 다양성,Forests protect biodiversity.,숲은 생물 다양성을 보호한다.,미학습
기타,craftsmanship,"[명사] 장인정신, 솜씨",The table shows excellent craftsmanship.,그 탁자는 뛰어난 장인정신을 보여 준다.,미학습
기타,entrepreneurship,[명사] 기업가 정신,Entrepreneurship requires creativity and persistence.,기업가 정신에는 창의성과 끈기가 필요하다.,미학습
기타,gastronomy,"[명사] 미식, 요리법",The city is famous for its gastronomy.,그 도시는 미식으로 유명하다.,미학습
기타,hologram,[명사] 홀로그램,The exhibition used a realistic hologram.,그 전시는 사실적인 홀로그램을 사용했다.,미학습
기타,innovation,[명사] 혁신,Innovation drives growth in technology industries.,혁신은 기술 산업의 성장을 이끈다.,미학습
기타,journalism,"[명사] 저널리즘, 언론 활동",Ethical journalism is important for democracy.,윤리적 저널리즘은 민주주의에 중요하다.,미학습
기타,logistics,[명사] 물류,Efficient logistics reduced delivery times.,효율적인 물류는 배송 시간을 줄였다.,미학습
기타,nostalgia,"[명사] 향수, 그리움",The old song filled her with nostalgia.,그 오래된 노래는 그녀에게 향수를 느끼게 했다.,미학습
